country,code,year,month,date,gasoline_price_usd_liter
Azerbaijan,AZE,2024,2,2024-02-01,0.5881775143265338
Azerbaijan,AZE,2024,3,2024-03-03,0.5881446835928226
Azerbaijan,AZE,2024,4,2024-04-03,0.5880151814816101
Azerbaijan,AZE,2024,5,2024-05-04,0.5879946824842244
Azerbaijan,AZE,2024,6,2024-06-04,0.5882006940768191
Azerbaijan,AZE,2024,7,2024-07-05,0.6468106864385856
Azerbaijan,AZE,2024,8,2024-08-05,0.6471539932342992
Azerbaijan,AZE,2024,9,2024-09-05,0.6470588235294118
Azerbaijan,AZE,2024,10,2024-10-06,0.647098891573035
Azerbaijan,AZE,2024,11,2024-11-06,0.6471494244488346
Azerbaijan,AZE,2024,12,2024-12-07,0.6471280350147472
Bahrain,BHR,2015,12,2015-12-01,0.21222579763739632
Bahrain,BHR,2016,1,2016-01-01,0.33156498673740054
Bahrain,BHR,2016,2,2016-02-01,0.33156498673740054
Bahrain,BHR,2016,3,2016-03-01,0.33156498673740054
Bahrain,BHR,2016,4,2016-04-01,0.33156498673740054
Bahrain,BHR,2016,5,2016-05-01,0.33156498673740054
Bahrain,BHR,2016,6,2016-06-01,0.33156498673740054
Bahrain,BHR,2016,7,2016-07-01,0.33152277694086696
Bahrain,BHR,2016,8,2016-08-01,0.33156498673740054
Bahrain,BHR,2016,9,2016-09-01,0.33156498673740054
Bahrain,BHR,2016,10,2016-10-01,0.33156498673740054
Bahrain,BHR,2016,11,2016-11-01,0.33156498673740054
Bahrain,BHR,2016,12,2016-12-01,0.33156498673740054
Bahrain,BHR,2017,1,2017-01-03,0.33156498673740054
Bahrain,BHR,2017,2,2017-02-03,0.33156498673740054
Bahrain,BHR,2017,3,2017-03-03,0.33156498673740054
Bahrain,BHR,2017,4,2017-04-03,0.33156498673740054
Bahrain,BHR,2017,5,2017-05-03,0.33156498673740054
Bahrain,BHR,2017,6,2017-06-03,0.33156498673740054
Bahrain,BHR,2017,7,2017-07-03,0.33156498673740054
Bahrain,BHR,2017,8,2017-08-03,0.33156498673740054
Bahrain,BHR,2017,9,2017-09-03,0.33156498673740054
Bahrain,BHR,2017,10,2017-10-03,0.33156498673740054
Bahrain,BHR,2017,11,2017-11-03,0.3308471274529006
Bahrain,BHR,2017,12,2017-12-03,0.33161864386545303
Bahrain,BHR,2018,1,2018-01-03,0.3719971196794448
Bahrain,BHR,2018,2,2018-02-03,0.3713626356136768
Bahrain,BHR,2018,3,2018-03-03,0.37135278514588865
Bahrain,BHR,2018,4,2018-04-03,0.37135278514588865
Bahrain,BHR,2018,5,2018-05-03,0.37096804110325904
Bahrain,BHR,2018,6,2018-06-03,0.3699739696885612
Bahrain,BHR,2018,7,2018-07-03,0.36932687538911224
Bahrain,BHR,2018,8,2018-08-03,0.37088254149910727
Bahrain,BHR,2018,9,2018-09-03,0.37135278514588865
Bahrain,BHR,2018,10,2018-10-03,0.37135278514588865
Bahrain,BHR,2018,11,2018-11-03,0.37135278514588865
Bahrain,BHR,2018,12,2018-12-03,0.37135278514588865
Bahrain,BHR,2019,1,2019-01-03,0.37135278514588865
Bahrain,BHR,2019,2,2019-02-03,0.37135278514588865
Bahrain,BHR,2019,3,2019-03-03,0.37135278514588865
Bahrain,BHR,2019,4,2019-04-03,0.37135278514588865
Bahrain,BHR,2019,5,2019-05-03,0.37135278514588865
Bahrain,BHR,2019,6,2019-06-03,0.37135278514588865
Bahrain,BHR,2019,7,2019-07-03,0.37135278514588865
Bahrain,BHR,2019,8,2019-08-03,0.37135278514588865
Bahrain,BHR,2019,9,2019-09-03,0.37135278514588865
Bahrain,BHR,2019,10,2019-10-03,0.3713104340884196
Bahrain,BHR,2019,11,2019-11-03,0.37135278514588865
Bahrain,BHR,2019,12,2019-12-03,0.37135278514588865
Bahrain,BHR,2020,1,2020-01-03,0.37135278514588865
Bahrain,BHR,2020,2,2020-02-03,0.37135278514588865
Bahrain,BHR,2020,3,2020-03-03,0.3708609271523179
Bahrain,BHR,2020,4,2020-04-03,0.3703703703703704
Bahrain,BHR,2020,5,2020-05-03,0.3703703703703704
Bahrain,BHR,2020,6,2020-06-03,0.3703703703703704
Bahrain,BHR,2020,7,2020-07-03,0.3703703703703704
Bahrain,BHR,2020,8,2020-08-03,0.3703703703703704
Bahrain,BHR,2020,9,2020-09-03,0.3703703703703704
Bahrain,BHR,2020,10,2020-10-03,0.3703703703703704
Bahrain,BHR,2020,11,2020-11-03,0.3703703703703704
Bahrain,BHR,2020,12,2020-12-03,0.3703703703703704
Bahrain,BHR,2021,1,2021-01-03,0.3703703703703704
Bahrain,BHR,2021,2,2021-02-03,0.3703703703703704
Bahrain,BHR,2021,3,2021-03-03,0.3703703703703704
Bahrain,BHR,2021,4,2021-04-03,0.3703703703703704
Bahrain,BHR,2021,5,2021-05-03,0.3703703703703704
Bahrain,BHR,2021,6,2021-06-03,0.3703703703703704
Bahrain,BHR,2021,7,2021-07-03,0.3703703703703704
Bahrain,BHR,2021,8,2021-08-03,0.3703703703703704
Bahrain,BHR,2021,9,2021-09-03,0.3703703703703704
Bahrain,BHR,2021,10,2021-10-03,0.3703703703703704
Bahrain,BHR,2021,11,2021-11-03,0.3703703703703704
Bahrain,BHR,2021,12,2021-12-03,0.3703703703703704
Bahrain,BHR,2022,1,2022-01-03,0.3703703703703704
Bahrain,BHR,2022,2,2022-02-03,0.3703703703703704
Bahrain,BHR,2022,3,2022-03-03,0.3703703703703704
Bahrain,BHR,2022,4,2022-04-03,0.3703703703703704
Bahrain,BHR,2022,5,2022-05-03,0.3703703703703704
Bahrain,BHR,2022,6,2022-06-03,0.3703703703703704
Bahrain,BHR,2022,7,2022-07-03,0.3703703703703704
Bahrain,BHR,2022,8,2022-08-03,0.3703703703703704
Bahrain,BHR,2022,9,2022-09-03,0.3703703703703704
Bahrain,BHR,2022,10,2022-10-03,0.3703703703703704
Bahrain,BHR,2022,11,2022-11-03,0.3703703703703704
Bahrain,BHR,2022,12,2022-12-03,0.3703703703703704
Bahrain,BHR,2023,1,2023-01-03,0.3703703703703704
Bahrain,BHR,2023,2,2023-02-03,0.3703703703703704
Bahrain,BHR,2023,3,2023-03-01,0.3703703703703704
Bahrain,BHR,2023,4,2023-04-01,0.3703703703703704
Bahrain,BHR,2023,5,2023-05-01,0.3703703703703704
Bahrain,BHR,2023,6,2023-06-01,0.3703703703703704
Bahrain,BHR,2023,7,2023-07-01,0.3703703703703704
Bahrain,BHR,2023,8,2023-08-01,0.3703703703703704
Bahrain,BHR,2023,9,2023-09-01,0.3703703703703704
Bahrain,BHR,2023,10,2023-10-01,0.3703703703703704
Bahrain,BHR,2023,11,2023-11-01,0.3703703703703704
Bahrain,BHR,2023,12,2023-12-01,0.3703703703703704
Bahrain,BHR,2024,1,2024-01-01,0.3703703703703704
Bahrain,BHR,2024,2,2024-02-01,0.3703703703703704
Bahrain,BHR,2024,3,2024-03-03,0.3703703703703704
Bahrain,BHR,2024,4,2024-04-03,0.3703703703703704
Bahrain,BHR,2024,5,2024-05-04,0.3703703703703704
Bahrain,BHR,2024,6,2024-06-04,0.3703703703703704
Bahrain,BHR,2024,7,2024-07-05,0.3703703703703704
Bahrain,BHR,2024,8,2024-08-05,0.3703703703703704
